High speed,Potentiometer mark,ADC reading,Speed [RPM]
1,0,33.5,504.1
1,0,33.5,502.5
1,0,33.5,502
1,0.5,66.5,630.2
1,0.5,66.5,630.1
1,0.5,66.5,630.5
1,1,113.5,803.8
1,1,113.5,807.6
1,1,113.5,804.2
1,1.5,173.5,1029
1,1.5,173.5,1029
1,1.5,173.5,1031
1,2,223,1212
1,2,223,1214
1,2,223,1211
1,2.5,268,1387
1,2.5,268,1386
1,2.5,268,1385
1,3,316,1561
1,3,316,1564
1,3,316,1564
1,3.5,363,1740
1,3.5,363,1746
1,3.5,363,1740
1,4,392,1852
1,4,392,1855
1,4,392,1854
1,4.5,434,2003
1,4.5,434,2007
1,4.5,434,2003
1,5,466.5,2128
1,5,466.5,2124
1,5,466.5,2126
1,5.5,523.5,2338
1,5.5,523.5,2335
1,5.5,523.5,2338
1,6,608,2649
1,6,608,2647
1,6,608,2648
1,6.5,659,2833
1,6.5,659,2835
1,6.5,659,2836
1,7,710,3025
1,7,710,3024
1,7,710,3024
1,7.5,779.5,3277
1,7.5,779.5,3280
1,7.5,779.5,3278
1,8,811,3396
1,8,811,3394
1,8,811,3396
1,8.5,891,3682
1,8.5,891,3682
1,8.5,891,3684
1,9,935,3845
1,9,935,3846
1,9,935,3845
1,9.5,1006.5,4102
1,9.5,1006.5,4105
1,9.5,1006.5,4102
1,10,1017.5,4150
1,10,1017.5,4153
1,10,1017.5,4152
0,0,33.5,57.5
0,0,33.5,55.3
0,0,33.5,56.1
0,0,33.5,56.5
0,0,33.5,58.7
0,0,33.5,57.7
0,0.5,73,73.6
0,0.5,73,74
0,0.5,73,71.2
0,0.5,73,72.8
0,0.5,73,73.7
0,1,112,92.3
0,1,112,89.8
0,1,112,92.4
0,1,112,92.9
0,1,112,88.3
0,1,112,92.5
0,1.5,169.5,116.8
0,1.5,169.5,116.7
0,1.5,169.5,115.1
0,2,216,134.6
0,2,216,136.1
0,2,216,133.8
0,2.5,275,158.2
0,2.5,275,159.9
0,2.5,275,161.2
0,3,315,179.2
0,3,315,174.5
0,3,315,174.5
0,3.5,348.5,195.4
0,3.5,348.5,191.1
0,3.5,348.5,189.8
0,3.5,348.5,187
0,3.5,348.5,187.7
0,4,382,205.6
0,4,382,203.6
0,4,382,206
0,4.5,441.5,228.7
0,4.5,441.5,226.7
0,4.5,441.5,228.3
0,5,480,245.4
0,5,480,245.9
0,5,480,245.8
0,5.5,529,266.1
0,5.5,529,271.3
0,5.5,529,269.3
0,6,622.5,306.2
0,6,622.5,305.4
0,6,622.5,305.4
0,6.5,672,326.3
0,6.5,672,323
0,6.5,672,323.7
0,7,720.5,345.2
0,7,720.5,343.2
0,7,720.5,346.5
0,7.5,768,366.3
0,7.5,768,363.2
0,7.5,768,368.4
0,8,810.5,382.4
0,8,810.5,383.3
0,8,810.5,385.7
0,8.5,873,409.6
0,8.5,873,403.2
0,8.5,873,409.2
0,8.5,873,407.8
0,9,932,433.1
0,9,932,433.6
0,9,932,432.7
0,9.5,1012,461.9
0,9.5,1012,465.5
0,9.5,1012,468.7
0,10,1017.5,468.1
0,10,1017.5,468.5
0,10,1017.5,469
0,10,1017.5,467.9
0,10,1017.5,465.8
0,,1015,466.8
0,,1015,468
0,,1015,471.9