High speed,Potentiometer mark,Nominal speed [RPM],Measured speed [RPM]
1,0,517,498.9
1,0,516,501.5
1,0,518,500.8
1,0,517,499.2
1,1,824,813.3
1,1,822,813.6
1,1,822,815
1,2,1187,1183
1,2,1188,1184
1,2,1187,1184
1,3,1553,1555
1,3,1553,1554
1,3,1552,1555
1,4,1855,1866
1,4,1854,1864
1,4,1856,1865
1,5,2152,2162
1,5,2154,2164
1,5,2154,2163
1,5,2154,2162
1,5,2154,2162
1,5,2154,2164
1,6,2643,2650
1,6,2643,2647
1,6,2644,2652
1,7,3024,3027
1,7,3024,3029
1,7,3024,3029
1,8,3400,3402
1,8,3399,3401
1,8,3400,3402
1,9,3869,3863
1,9,3870,3862
1,9,3871,3861
1,10,4162,4153
1,10,4162,4153
1,10,4162,4154
1,10,4161,4154
1,10,4161,4154
1,10,4162,4154
0,0,58,57
0,0,58,57
0,0,58,57.3
0,1,83,83
0,1,83,81.9
0,1,83,82.2
0,2,137,136.8
0,2,137,136.6
0,2,137,136.4
0,3,173,175
0,3,173,173.3
0,3,173,173.6
0,4,210,210.5
0,4,210,210.2
0,4,210,210
0,5,242,241.8
0,5,242,242.7
0,5,242,241.3
0,5,242,243.5
0,5,242,241.1
0,6,297,296.9
0,6,297,297.6
0,6,297,299.2
0,7,338,339.4
0,7,338,337.9
0,7,338,337.2
0,8,380,379.9
0,8,380,378.2
0,8,380,378.8
0,9,431,430.6
0,9,432,429.9
0,9,431,431.1
0,10,469,468.9
0,10,469,467.6
0,10,469,471.5
0,10,469,469.1
0,10,469,470.4
0,10,469,469.4
0,5,253,254.3
0,5,253,253.4
0,5,253,252.4
0,5,253,252.9
0,5,253,252.5
0,5,253,253.7
1,5,2246,2249
1,5,2243,2249
1,5,2245,2248
1,5,2243,2247
1,5,2243,2249
1,5,2245,2250